,219
0,-42.82396
1,-45.258804
2,-46.81514
3,-47.35668
4,-53.587452
5,-56.41619
6,-54.89896
7,-57.331936
8,-70.84374
9,-80.0
10,-73.01847
11,-66.84042
12,-64.36805
13,-74.57022
14,-70.62245
15,-58.734085
16,-59.08709
17,-51.996925
18,-33.59792
19,-18.344011
20,-25.825424
21,-11.79863
22,-18.454218
23,-39.97413
24,-47.967453
25,-61.508667
26,-55.455482
27,-58.623383
28,-52.338177
29,-53.117393
30,-69.65982
31,-49.73684
32,-50.69088
33,-49.143982
34,-43.778206
35,-50.315216
36,-53.21917
37,-45.679413
38,-29.372366
39,-24.655655
40,-25.938248
41,-4.389675
42,-2.101595
43,-11.276291
44,-30.406649
45,-43.45201
46,-47.84178
47,-64.42946
48,-63.31497
49,-56.723175
50,-57.032623
51,-54.15181
52,-50.12972
53,-56.157486
54,-52.325184
55,-46.904015
56,-44.953728
57,-30.701777
58,-26.38543
59,-25.121956
60,-18.562815
61,-16.544823
62,-15.365896
63,-16.49294
64,-23.29467
65,-44.497253
66,-53.496574
67,-60.204155
68,-59.642666
69,-70.920746
70,-64.43404
71,-61.210392
72,-58.73642
73,-59.437744
74,-75.65185
75,-79.20784
76,-60.76629
77,-45.48238
78,-38.86981
79,-46.60358
80,-39.001568
81,-36.683483
82,-26.727386
83,-21.30773
84,-25.835697
85,-31.970688
86,-48.144516
87,-56.591816
88,-61.1914
89,-56.473557
90,-56.045357
91,-54.87789
92,-57.055786
93,-57.24833
94,-61.228653
95,-58.894867
96,-50.92804
97,-39.446156
98,-35.859577
99,-35.30774
100,-33.69882
101,-34.858063
102,-24.357687
103,-16.706993
104,-10.530092
105,-13.522949
106,-23.004498
107,-41.71502
108,-45.799915
109,-51.639725
110,-54.84919
111,-47.78498
112,-48.37548
113,-51.2761
114,-48.892998
115,-46.29572
116,-47.5748
117,-31.84865
118,-27.182161
119,-33.378746
120,-37.627617
121,-26.026346
122,-33.556763
123,-19.486805
124,-10.750317
125,-8.048138
126,-15.011892
127,-26.921837
128,-38.023373
129,-48.641678
130,-44.21961
131,-52.859783
132,-55.048016
133,-68.312454
134,-60.308365
135,-55.03827
136,-51.872936
137,-46.08279
138,-36.336132
139,-38.976048
140,-55.98337
141,-49.618217
142,-42.57867
143,-45.053814
144,-32.571896
145,-25.059778
146,-23.44086
147,-28.529238
148,-35.578793
149,-43.169426
150,-57.139614
151,-55.178017
152,-67.46555
153,-60.1802
154,-65.71155
155,-59.317295
156,-54.536453
157,-52.90444
158,-62.898117
159,-65.1911
160,-57.942783
161,-55.50142
162,-59.127525
163,-52.951706
164,-53.97702
165,-50.62728
166,-42.650597
167,-43.844353
168,-48.401817
169,-54.23548
170,-67.16646
171,-68.35903
172,-76.207504
173,-70.3557
174,-74.53813
175,-76.62833
176,-66.570694
177,-70.26372
178,-75.009125
179,-77.12715
180,-68.6147
181,-68.02602
182,-72.22353
183,-71.79086
184,-71.162704
185,-56.501087
186,-51.208714
187,-51.924828
188,-54.10859
189,-57.495842
190,-67.67937
191,-68.44466
192,-69.23831
193,-73.76703
194,-74.43948
195,-78.583206
196,-76.24704
197,-74.82295
198,-80.0
199,-79.23773
200,-73.80908
201,-72.24327
202,-75.03
203,-80.0
204,-78.69623
205,-79.67575
206,-72.720505
207,-68.243454
208,-63.76615
209,-63.210293
210,-68.239136
211,-80.0
212,-80.0
213,-80.0
214,-75.05264
215,-75.80533
216,-80.0
217,-80.0
218,-80.0
219,-80.0
220,-80.0
221,-80.0
222,-80.0
223,-80.0
224,-80.0
225,-77.25777
226,-68.750885
227,-63.528534
228,-60.365936
229,-58.12654
230,-57.975655
231,-61.5767
232,-72.52156
233,-80.0
234,-80.0
235,-80.0
236,-80.0
237,-80.0
238,-80.0
239,-80.0
240,-80.0
241,-80.0
242,-80.0
243,-78.8154
244,-80.0
245,-80.0
246,-79.73956
247,-80.0
248,-73.27957
249,-70.06851
250,-71.608444
251,-74.69972
252,-76.78433
253,-79.653946
254,-80.0
255,-80.0
256,-80.0
257,-80.0
258,-80.0
259,-80.0
260,-79.78554
261,-80.0
262,-80.0
263,-80.0
264,-79.43968
265,-80.0
266,-80.0
267,-73.4335
268,-73.88002
269,-73.733154
270,-72.44295
271,-74.716034
272,-73.692604
273,-79.85474
274,-80.0
275,-80.0
276,-77.34485
277,-79.616425
278,-80.0
279,-79.0497
280,-80.0
281,-80.0
282,-77.42431
283,-79.66422
284,-80.0
285,-80.0
286,-78.94173
287,-71.710724
288,-65.11194
289,-65.809265
290,-65.59218
291,-62.983734
292,-63.7501
293,-64.038635
294,-64.95445
295,-71.13994
296,-71.04938
297,-64.70807
298,-64.56457
299,-66.20859
300,-72.90669
301,-67.38295
302,-59.79328
303,-60.54259
304,-68.234535
305,-69.38329
306,-63.713062
307,-67.988525
308,-59.783653
309,-53.931744
310,-55.634018
311,-52.244217
312,-52.695557
313,-52.66432
314,-54.482407
315,-55.986588
316,-63.09333
317,-57.55755
318,-51.496395
319,-52.851387
320,-59.342464
321,-65.53627
322,-54.078247
323,-51.780975
324,-52.833138
325,-61.87566
326,-67.162674
327,-58.842506
328,-73.95343
329,-52.396854
330,-50.590744
331,-59.667686
332,-53.344727
333,-53.64866
334,-53.99452
335,-58.78728
336,-56.77263
337,-65.00484
338,-60.646816
339,-57.98118
340,-57.541607
341,-67.11983
342,-59.336487
343,-60.253105
344,-59.176777
345,-56.21827
346,-60.06878
347,-57.91548
348,-58.00849
349,-68.23357
350,-54.260544
351,-55.731937
352,-63.996635
353,-52.529823
354,-48.48314
355,-49.321438
356,-59.306595
357,-52.642216
358,-57.769768
359,-52.054565
360,-48.545994
361,-49.519302
362,-60.842003
363,-50.888687
364,-50.873516
365,-54.645954
366,-53.649323
367,-56.02679
368,-52.11647
369,-58.0933
370,-59.22434
371,-53.102734
372,-58.839485
373,-58.605022
374,-63.178368
375,-59.372955
376,-63.659584
377,-55.89633
378,-53.404945
379,-57.547493
380,-56.144962
381,-50.10017
382,-52.885166
383,-53.13521
384,-47.42253
385,-44.70321
386,-44.693535
387,-47.121838
388,-51.80632
389,-47.02351
390,-56.81485
391,-42.696026
392,-43.320267
393,-45.891174
394,-37.096954
395,-38.4224
396,-39.814663
397,-44.680363
398,-41.564026
399,-42.137497
400,-51.59836
401,-48.15305
402,-52.867958
403,-50.923027
404,-53.312172
405,-63.66249
406,-50.755646
407,-48.610146
408,-54.62809
409,-70.002655
410,-59.02236
411,-48.454647
412,-40.55997
413,-42.1691
414,-40.22795
415,-39.404835
416,-41.375534
417,-43.401245
418,-46.641224
419,-47.963074
420,-49.707283
421,-46.66929
422,-48.899483
423,-51.90155
424,-54.315235
425,-55.17089
426,-59.557816
427,-59.71171
428,-56.21504
429,-59.631645
430,-61.129112
431,-55.078415
432,-53.99385
433,-49.450924
434,-47.936817
435,-51.74691
436,-56.338234
437,-61.331657
438,-62.44712
439,-53.914055
440,-51.189186
441,-57.905872
442,-54.239777
443,-55.448906
444,-55.449783
445,-58.86831
446,-57.14465
447,-64.081024
448,-71.31851
449,-63.337654
450,-80.0
451,-80.0
452,-60.723465
453,-70.80878
454,-62.04994
455,-74.127
456,-67.23084
457,-62.8778
458,-58.19253
459,-60.364864
460,-64.15466
461,-59.77026
462,-61.867805
463,-68.83481
464,-67.67267
465,-65.99456
466,-69.120285
467,-66.35598
468,-68.903824
469,-68.20847
470,-66.95828
471,-73.39354
472,-74.448326
473,-66.95795
474,-77.161
475,-68.94508
476,-65.52474
477,-68.37999
478,-71.99939
479,-70.57521
480,-80.0
481,-73.74066
482,-73.13905
483,-69.68458
484,-78.72067
485,-65.95686
486,-63.723083
487,-71.13691
488,-65.61755
489,-59.166832
490,-62.644978
491,-61.81696
492,-63.919556
493,-57.908142
494,-52.321167
495,-51.3729
496,-58.349937
497,-54.35004
498,-51.373726
499,-50.290024
500,-51.9078
501,-50.807064
502,-54.658806
503,-55.340378
504,-57.252174
505,-58.15875
506,-57.85121
507,-55.201157
508,-52.836685
509,-50.227715
510,-50.770767
511,-57.6345
512,-58.451244
513,-61.679935
514,-62.715042
515,-56.6681
516,-56.10948
517,-53.51702
518,-54.535797
519,-56.03225
520,-55.804363
521,-57.293594
522,-63.478798
523,-64.00812
524,-65.05268
525,-59.99299
526,-58.928085
527,-62.3004
528,-80.0
529,-68.18407
530,-63.76239
531,-66.50856
532,-65.24649
533,-66.51169
534,-73.034065
535,-74.60028
536,-80.0
537,-68.999825
538,-68.09094
539,-68.162575
540,-64.24309
541,-66.98076
542,-70.00255
543,-65.46521
544,-66.860016
545,-71.20368
546,-64.96731
547,-67.54422
548,-72.60808
549,-68.259155
550,-66.813965
551,-71.70723
552,-64.41462
553,-62.372475
554,-68.70758
555,-67.79691
556,-69.32686
557,-80.0
558,-66.05046
559,-64.66491
560,-69.05713
561,-62.178814
562,-64.321335
563,-69.23651
564,-70.993126
565,-63.17112
566,-62.879406
567,-73.33021
568,-69.99387
569,-77.52516
570,-66.690475
571,-66.29042
572,-70.30679
573,-66.94742
574,-71.97186
575,-68.54272
576,-71.99405
577,-72.26596
578,-78.93309
579,-75.38826
580,-70.67058
581,-69.07889
582,-67.30861
583,-67.82119
584,-67.19638
585,-66.47029
586,-59.91458
587,-60.228424
588,-63.395836
589,-62.821033
590,-64.44801
591,-61.05381
592,-65.236404
593,-70.94575
594,-62.11374
595,-64.691315
596,-59.12036
597,-65.928795
598,-64.61032
599,-62.240234
600,-65.82213
601,-57.76366
602,-60.894184
603,-65.35799
604,-60.45324
605,-57.501595
606,-55.669876
607,-54.224876
608,-60.487812
609,-59.995586
610,-63.582687
611,-63.943245
612,-65.405945
613,-72.10878
614,-67.454056
615,-69.85467
616,-74.71596
617,-60.849834
618,-61.631298
619,-66.688324
620,-57.88801
621,-58.56539
622,-64.09306
623,-57.828743
624,-57.253708
625,-58.61109
626,-62.76954
627,-62.179832
628,-77.115555
629,-66.98149
630,-58.36651
631,-70.15288
632,-54.495705
633,-54.523346
634,-54.29167
635,-54.37207
636,-60.738663
637,-56.682343
638,-51.026543
639,-49.417435
640,-62.621094
641,-54.062492
642,-48.46935
643,-48.600075
644,-51.848522
645,-54.427963
646,-55.110123
647,-49.591797
648,-49.72815
649,-60.33332
650,-52.949974
651,-47.593147
652,-52.57718
653,-51.377228
654,-45.581352
655,-46.283447
656,-52.493168
657,-60.981564
658,-59.607765
659,-48.987007
660,-51.574364
661,-62.15292
662,-54.59044
663,-48.819603
664,-50.527615
665,-66.8564
666,-59.810215
667,-56.719128
668,-48.065292
669,-49.2294
670,-61.492264
671,-50.65928
672,-44.72673
673,-47.365505
674,-48.45684
675,-43.70704
676,-46.315784
677,-55.810646
678,-54.36483
679,-61.08432
680,-61.4509
681,-55.32985
682,-53.832733
683,-55.86562
684,-55.797615
685,-54.38079
686,-66.36865
687,-58.742928
688,-56.870453
689,-49.905228
690,-49.136982
691,-50.352173
692,-51.425625
693,-55.527756
694,-57.205803
695,-60.511005
696,-63.567818
697,-62.920494
698,-66.473755
699,-67.98038
700,-68.66876
701,-79.27974
702,-67.67902
703,-68.26172
704,-64.61361
705,-60.929085
706,-60.37901
707,-60.108456
708,-51.87497
709,-50.445774
710,-51.11851
711,-49.54986
712,-47.284904
713,-45.72662
714,-52.91385
715,-57.093254
716,-60.86913
717,-54.504074
718,-50.433487
719,-62.531807
720,-63.316666
721,-53.81036
722,-48.49411
723,-49.40786
724,-54.471016
725,-57.926575
726,-58.920975
727,-57.82847
728,-57.22999
729,-52.857315
730,-52.590767
731,-53.49363
732,-54.55184
733,-60.011612
734,-57.012215
735,-62.51804
736,-65.48721
737,-59.98397
738,-64.68448
739,-62.00901
740,-62.468338
741,-58.661415
742,-56.903854
743,-55.74868
744,-64.18758
745,-63.85118
746,-60.645973
747,-59.703312
748,-60.65612
749,-59.571735
750,-56.972584
751,-56.626366
752,-56.8985
753,-57.770756
754,-64.17881
755,-61.03734
756,-66.39953
757,-69.24216
758,-63.770332
759,-66.72179
760,-69.27964
761,-62.35611
762,-66.05049
763,-58.768333
764,-56.75554
765,-72.843
766,-55.066257
767,-52.899803
768,-53.524147
769,-57.839855
770,-58.583344
771,-53.513542
772,-52.39395
773,-52.022636
774,-53.391182
775,-58.782738
776,-55.179996
777,-61.551323
778,-65.90442
779,-63.70941
780,-64.848465
781,-64.092125
782,-64.587494
783,-64.88376
784,-59.9237
785,-61.144737
786,-74.743164
787,-62.7544
788,-60.34667
789,-59.177696
790,-63.695007
791,-62.025143
792,-57.87575
793,-58.377014
794,-57.60977
795,-57.263367
796,-57.666122
797,-58.58693
798,-67.1118
799,-69.5876
800,-75.03328
801,-66.33127
802,-57.558464
803,-63.323475
804,-58.83237
805,-54.055107
806,-59.52541
807,-57.45617
808,-52.291016
809,-53.815804
810,-54.644833
811,-61.99843
812,-52.507294
813,-50.489967
814,-53.629845
815,-53.202908
816,-55.305008
817,-56.026146
818,-55.13217
819,-64.788666
820,-67.84721
821,-78.34723
822,-65.327736
823,-67.631
824,-80.0
825,-66.39987
826,-69.347534
827,-74.82272
828,-78.797165
829,-79.64593
830,-73.21315
831,-74.26813
832,-76.82965
833,-75.23717
834,-72.07272
835,-72.033035
836,-71.67921
837,-71.42966
838,-70.22366
839,-73.36821
840,-74.87933
841,-72.97544
842,-79.87413
843,-80.0
844,-80.0
845,-80.0
846,-73.09776
847,-80.0
848,-80.0
849,-80.0
850,-80.0
851,-79.02103
852,-80.0
853,-80.0
854,-78.44023
855,-80.0
856,-80.0
857,-80.0
858,-80.0
859,-79.79414
860,-80.0
861,-79.377396
862,-80.0
863,-80.0
864,-80.0
865,-79.60718
866,-78.59343
867,-80.0
868,-80.0
869,-80.0
870,-76.04785
871,-74.400635
872,-76.63211
873,-80.0
874,-69.75838
875,-67.88104
876,-65.72638
877,-65.05606
878,-68.01231
879,-69.329506
880,-74.43112
881,-66.59308
882,-68.32436
883,-73.13665
884,-71.882416
885,-80.0
886,-70.48947
887,-80.0
888,-79.91646
889,-77.750046
890,-80.0
891,-80.0
892,-80.0
893,-80.0
894,-80.0
895,-77.18389
896,-74.18862
897,-70.04701
898,-70.021774
899,-74.536194
900,-75.15746
901,-70.335014
902,-70.9913
903,-76.48627
904,-80.0
905,-74.307434
906,-77.71127
907,-69.85939
908,-65.78003
909,-65.86319
910,-65.166374
911,-66.903595
912,-71.97719
913,-67.17039
914,-66.71997
915,-63.65104
916,-62.915615
917,-64.33395
918,-63.485283
919,-66.14221
920,-76.76099
921,-74.2896
922,-66.183784
923,-64.68974
924,-70.814606
925,-74.92464
926,-80.0
927,-73.16467
928,-70.19183
929,-73.67366
930,-72.1595
931,-69.59532
932,-72.90912
933,-74.50185
934,-70.99536
935,-71.20152
936,-67.081055
937,-66.89012
938,-67.57958
939,-68.9953
940,-77.23151
941,-76.63425
942,-73.65526
943,-71.80369
944,-75.79825
945,-80.0
946,-74.813675
947,-79.03554
948,-70.78243
949,-69.31897
950,-69.56918
951,-70.17514
952,-71.14465
953,-70.3728
954,-65.19967
955,-64.927704
956,-68.02872
957,-64.62244
958,-60.39489
959,-59.467598
960,-62.350838
961,-70.14398
962,-70.434685
963,-62.934296
964,-60.014763
965,-62.462296
966,-69.45998
967,-67.609085
968,-67.09349
969,-63.309074
970,-74.7908
971,-71.42285
972,-69.57333
973,-80.0
974,-80.0
975,-73.55603
976,-69.99597
977,-70.71549
978,-70.08967
979,-67.998024
980,-70.460785
981,-78.39511
982,-77.91287
983,-70.423386
984,-67.94722
985,-70.531586
986,-80.0
987,-77.3903
988,-78.669586
989,-65.614456
990,-69.71707
991,-68.12793
992,-64.22945
993,-73.59871
994,-71.37261
995,-68.93001
996,-63.432926
997,-62.93953
998,-67.87881
999,-60.15576
1000,-59.582035
1001,-61.04058
1002,-65.97081
1003,-71.28507
1004,-63.821297
1005,-60.31453
1006,-59.558594
1007,-66.29224
1008,-75.59958
1009,-74.674194
1010,-61.51793
1011,-63.247444
1012,-75.796875
1013,-67.62988
1014,-80.0
1015,-69.15236
1016,-70.79878
1017,-64.6728
1018,-65.83705
1019,-68.620735
1020,-65.2733
1021,-65.32973
1022,-65.919556
1023,-68.508224
1024,-73.47579
